locations,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence
church,0.46104999999999996,0.5757999999999999,-7.0635699999999995,0.034828,0.22919842,0.00023447559999999998,0.30028799999999994,128.31985,0.274563
education,0.56084,0.5351462000000001,-9.874600000000001,0.06694000000000001,0.36416237500000015,0.10363204620000004,0.15605499999999992,121.72915,0.42699200000000004
cemetery,0.5499599999999999,0.6201100000000002,-7.314750000000001,0.07410099999999999,0.28041195129999996,0.07390849380000003,0.20226700000000006,127.13037,0.4664579999999998
forest,0.32190202020202024,0.3357777777777775,-18.628656565656563,0.07715151515151517,0.7364733333333334,0.5830325909090911,0.35121717171717176,108.34088888888884,0.25431515151515166
beach,0.6934,0.71124,-6.21372,0.09152200000000002,0.15457019,0.004805457800000001,0.17653600000000005,123.34875999999994,0.6106130000000001
urban,0.7519899999999999,0.6650799999999998,-6.08036,0.16267500000000001,0.21660110000000002,0.0139075,0.18009000000000008,121.76218,0.5419509999999998
night_life,0.7144300000000001,0.8053099999999997,-4.924069999999999,0.08166000000000002,0.09782152,0.028683834899999993,0.18071999999999996,124.69731000000002,0.6172679999999999
