id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4wc8FpW9XCUaoxtii3CiCf,church,7,64,452499,0.254,0.753,11,-6.669,1,0.0544,0.0047,0.0,0.931,0.133,139.804
6fdglWE2qycjtz0JlW94HW,church,7,64,432053,0.453,0.758,8,-7.681,1,0.0541,0.03,2.03e-06,0.181,0.184,75.918
6LKjIAHCnZjaB4BfEIFHrW,church,7,59,424755,0.571,0.736,9,-5.633,1,0.0341,0.00056,0.0,0.494,0.105,121.985
1sF4VadVaVTvp9WTEy79JT,church,7,68,234731,0.43,0.708,0,-7.14,1,0.0336,0.0561,0.0,0.704,0.243,75.024
6Up545NUflOiXo8cEraH49,church,7,79,274693,0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873
36e4Sr0dXiyzjVeBWv8cON,church,7,69,291467,0.711,0.455,10,-7.261,1,0.0289,0.48,0.0,0.111,0.198,124.015
4r5yle9whdWDsA6ApFGaZj,church,7,68,211069,0.543,0.538,0,-8.262,1,0.0289,0.134,0.0,0.819,0.301,135.822
7wEIEqxdeyuvyVRwxMne33,church,7,51,310613,0.672,0.311,1,-8.427,0,0.0269,0.403,0.0,0.152,0.158,109.929
4JxBsbcNmDF7ON7n36mHX0,church,7,51,299200,0.596,0.283,9,-9.018,1,0.0259,0.771,0.0,0.144,0.271,98.954
6DzWfnraxo4GAcyIJ5oSYv,church,7,54,459720,0.507,0.594,5,-8.536,1,0.0303,0.443,5.28e-06,0.948,0.42,155.136
6aRwLqDf1bN3lI2gMd6wXp,church,6,61,339493,0.378,0.596,5,-5.406,1,0.0323,0.0182,1.14e-05,0.144,0.172,135.968
5Xjcst6Rle74VteHx0zczO,church,6,60,489453,0.363,0.533,2,-8.319,1,0.0314,0.136,0.0,0.358,0.0693,144.005
0eI19vR5WZ12fuYcEFUVkw,church,6,66,258453,0.516,0.905,11,-5.613,1,0.0399,0.000479,0.0,0.198,0.612,129.999
6iha1ZUpCGUJrrQLDSFYux,church,6,64,289747,0.457,0.362,0,-8.843,1,0.0279,0.637,2.77e-05,0.105,0.153,134.835
6ZhORhQoBD0qndKYvpBTv2,church,6,60,236736,0.638,0.842,2,-6.225,1,0.0392,0.0864,0.0,0.624,0.542,103.965
2lUgap86Pux7qAgvWzuJWs,church,6,63,329080,0.269,0.666,6,-6.048,1,0.0362,0.000278,0.0,0.609,0.226,171.722
2elEVvWjPZltkotzcCwKvM,church,6,66,514665,0.411,0.562,11,-8.152,1,0.0362,0.0407,0.0,0.222,0.197,140.015
6TbG237Ir0ublbxXq2T3Yp,church,6,59,581177,0.228,0.297,6,-12.664,1,0.0358,0.646,1.53e-06,0.123,0.0903,135.028
4908mwb34dqgcaxHeFjitw,church,6,8,211600,0.437,0.647,9,-5.371,1,0.0371,0.0178,0.0,0.106,0.218,176.032
1z5xgcRgxxGEKrXUCEFpA9,church,6,63,409987,0.268,0.697,8,-5.886,1,0.0422,0.0212,4.58e-06,0.38,0.112,144.01
5legkLUDyq0qOg4TR7wUAs,church,6,62,223627,0.697,0.944,7,-2.796,0,0.0327,0.00173,0.000162,0.32,0.846,119.994
63SF10lPoWA71bDYYzxfUs,church,6,0,373691,0.412,0.61,10,-7.988,1,0.0379,0.177,0.000102,0.0851,0.242,148.005
7mj5fT0Biju5jR41m9ghUl,church,6,0,299366,0.438,0.529,9,-9.224,1,0.0324,0.0113,0.0,0.109,0.395,136.147
1ed3wNCecRIp6SugyR0w2J,church,6,67,411000,0.431,0.416,9,-10.376,1,0.0296,0.0462,2.01e-06,0.144,0.177,127.964
5XCtjnFMKtCT7ycDwV3Kdh,church,6,68,240200,0.417,0.499,2,-6.364,1,0.0296,0.212,0.0,0.112,0.144,135.923
4LnHfZGEitmIVS17wndaUI,church,6,64,244040,0.42,0.823,1,-4.889,1,0.0434,0.00985,0.0,0.103,0.517,163.997
2VuwpxQR7rTPWkoLkpANdz,church,6,61,267906,0.444,0.778,0,-3.037,1,0.0324,0.051,0.0,0.269,0.42,148.044
5t0izTLPeWYLiIfHPJbORJ,church,6,2,385053,0.282,0.251,4,-10.648,0,0.0315,0.699,1.47e-05,0.11,0.11,129.826
2lIB1TU0Cqnc6RuYDjc92z,church,6,64,423193,0.367,0.463,11,-7.638,1,0.0335,0.121,1.04e-05,0.0983,0.187,139.996
