3ebqpN2hFJNeTuTTI5G0nd,So Will I (100 Billion X),Hillsong Worship,https://i.scdn.co/image/ab67616d00004851686b1a4e156623156dc73566
21MtQ0YiLgztPJMyhLVa9m,"Comfortably Numb - 2019 Remix, Live",Pink Floyd,https://i.scdn.co/image/ab67616d000048519b0f713885a4cdf27711c24a
4PyuB3eDqz1PjkHPAAPowH,"Dreaming Neon Black - live at the Zeche Bochum, Germany, October 11th, 2006",Nevermore,https://i.scdn.co/image/ab67616d0000485105dab16adb0c4a0ad434e1d0
7hRude5nK6ofdWd1aUf3mi,Welcome to the Machine - 2019 remix [Live],Pink Floyd,https://i.scdn.co/image/ab67616d00004851517026f63a9ca883218ed792
6LkZtK1MzFoIokM2GjZi5d,Afterglow,Genesis,https://i.scdn.co/image/ab67616d00004851e9cadc388fb402ae89508fc5
7EJZsaZ2aWVpw3nDiTjTyI,"Life (Live At Roskilde Festival, Denmark, 27th June 2002)",The Beta Band,https://i.scdn.co/image/ab67616d000048518d582dd8efcb776dede0d62a
1lEk3U3MzbDeL5MNHkE9JU,O Come to the Altar (Live),Elevation Worship,https://i.scdn.co/image/ab67616d0000485190e22400e515676843c29fe0
4P8n1pWj2xQnaBjy1rvZ3o,Sailin' On,Bad Brains,https://i.scdn.co/image/ab67616d00004851518d1a9d162cfce8a7db5c5e
3RNVzA6VcMkIii2Gn0vFq6,Hear It Grow,Underground Sound Of Lisbon,https://i.scdn.co/image/ab67616d00004851720e8a8895fac694dee480fc
0kvsqJ4O3AK2VAIqqy5Jo3,Welcome To My Life - Live At Berlin Wuhlheide / 2015,Sunrise Avenue,https://i.scdn.co/image/ab67616d000048516f4b8f2cf77afd7feb3e1df8
0wFSztnpnNA6dEL5tsOPZb,Vitorioso És - Ao Vivo,Gabriel Guedes de Almeida,https://i.scdn.co/image/ab67616d00004851219d8717083c099bf868bea5
3UFDEXBp2p6AtZDcMiLuLg,All We Are - Live,Kim Mitchell,https://i.scdn.co/image/ab67616d00004851043d8b4dfd9a007843dc26d2
6oWisp4dpCmfzozk8oODZy,Welcome To My Life - Live At Berlin Wuhlheide / 2015,Sunrise Avenue,https://i.scdn.co/image/ab67616d0000485190e1189fa16f1ed3e1b9fc82
1vsA02g4fNXwTAy9BooYbX,Digno Y Santo,Ingrid Rosario,https://i.scdn.co/image/ab67616d0000485102a5f622eb100488fc1536f9
4tWyAALdwnqPUFK1kS9hPe,Sed (feat. Pedro Suarez Vertiz),Libido; Pedro Suárez-Vértiz,https://i.scdn.co/image/ab67616d000048515013f4f9e1c85d93e4739a1c
0fPwregqch9wLJj4yQH6Bk,Here as in Heaven,Elevation Worship,https://i.scdn.co/image/ab67616d0000485190e22400e515676843c29fe0
0Ari6yg3wuIi6zxpRQC3f2,Rendido Estou (Arms Open Wide),Fernandinho; Bruna Karla; Aline Barros,https://i.scdn.co/image/ab67616d00004851177cc212235c38e4ec0651d5
4MI75ms8DIMtmsZSxcglHI,Mr. Freeze,"""Ks Choice""",https://i.scdn.co/image/ab67616d00004851915bddc014dfc6c009f9dd14
6MN5twUHLpmMTX5K6lWuzK,Afterglow - Remastered 2007,Genesis,https://i.scdn.co/image/ab67616d00004851eec08fa744acae76b3be8a83
2QM6i84l0lrD8aehmfC4Jb,M'Importa 'Nasega,C.S.I.,https://i.scdn.co/image/ab67616d00004851fb7e375d1d9389b3d34c6d44
3bQGHWevndR1e5Ddat02pw,Winter - Remastered,Judas Priest,https://i.scdn.co/image/ab67616d000048514dc172674e47db987713326d
6GfDI3t6u8x0ELrbV315fT,Construiré Mi Vida,Evan Craft; Living,https://i.scdn.co/image/ab67616d000048516bde09cff9d617f7ef289d91
5V1Hh4d7xhjmsqQ9KuHtTP,Al Que Esta Sentado En El Trono,Palabra en Acción,https://i.scdn.co/image/ab67616d00004851436db6e6e13108c3774addcf
2NVMgUafTJX8Y0tKNbyymm,Renunciación - Versión Mariachi,Rigo Tovar,https://i.scdn.co/image/ab67616d000048511ed4d0d25e90edce2f08873e
4Sd5521zmOneUxTmSxh7Fb,Sobrenatural,Marcos Witt,https://i.scdn.co/image/ab67616d00004851f4b90bbb608c8a6762281e3f
1ecPv9ymYtafPtVeYyV3KJ,Terminal Frost - 2019 remix [Live],Pink Floyd,https://i.scdn.co/image/ab67616d00004851517026f63a9ca883218ed792
6qYidY706dT5LxQSmbTg94,Revelacion,Danilo Montero,https://i.scdn.co/image/ab67616d00004851cbc5f4f61cd0ed31116d7dfd
1wIsp4SFQRuzbuFdXmACiZ,One Thing Remains - Live,Passion; Kristian Stanfill,https://i.scdn.co/image/ab67616d00004851d1bc916ed419a3b06af9dbfb
7Mae4Ye1NiSr8EV98ZX4ne,The King of Sunset Town - 1997 Remaster,Marillion,https://i.scdn.co/image/ab67616d0000485130d8f8020296f70abaf5bbfb
6w5iFDoK8F9fr1zfT6tRd2,O Hino - Ao Vivo,Fernandinho,https://i.scdn.co/image/ab67616d00004851804d0966b1687f6dfb2bbfd8
7CosFlbml7Rhw7t4FrSkdz,Apparitions,Matthew Good Band,https://i.scdn.co/image/ab67616d00004851db66a579b3708f473f1ceb2d
0rMYtFMoNdODSJ4462xiqS,Kapitel 28 - Der Schulausflug (Folge 011),Bibi Blocksberg,https://i.scdn.co/image/ab67616d00004851474a0d7682acba193951996e
18gtIEABhslMhj9bNAfBdt,Si puedes creer,Marcos Witt,https://i.scdn.co/image/ab67616d00004851f4b90bbb608c8a6762281e3f
75b3Hd8BlP0dqKPDWSXHsI,Vlinder,Marco Borsato,https://i.scdn.co/image/ab67616d00004851739013e8eea780a27df302b9
2wRwD74zIQlJa1rDkLMVAf,Stjörnuryk,Trúbrot,https://i.scdn.co/image/ab67616d00004851a2ce9c49011518aff829f430
